tag,file,entity,A,B,C,D,E,F,G,H
Doctor,occupation.txt,Q39631,Physician,,,,,,,
Nurse,occupation.txt,Q186360,,,,,,,,
Pharmacist,occupation.txt,Q105186,,,,,,,,
Dentist,occupation.txt,Q27349,,,,,,,,
Surgeon,occupation.txt,Q774306,,,,,,,,
Psychiatrist,occupation.txt,Q211346,,,,,,,,
Cardiologist,occupation.txt,Q3264451,,,,,,,,
Pediatrician,occupation.txt,Q1919436,,,,,,,,
Dermatologist,occupation.txt,Q2447386,,,,,,,,
Engineer,occupation.txt,Q81096,,,,,,,,
Civil Engineer,occupation.txt,Q13582652,,,,,,,,
Mechanical Engineer,occupation.txt,Q1906857,,,,,,,,
Electrical Engineer,occupation.txt,Q1326886,,,,,,,,
Software Engineer,occupation.txt,Q1709010,,,,,,,,
Chemical Engineer,occupation.txt,Q7888586,,,,,,,,
Aerospace Engineer,occupation.txt,Q10497074,,,,,,,,
Politician,occupation.txt,Q82955,,,,,,,,
President,politician.txt,Q30461,,,,,,,,
Prime Minister,politician.txt,Q14212,,,,,,,,
Senator,politician.txt,Q15686806,,,,,,,,
Governor,politician.txt,Q132050,,,,,,,,
Mayor,politician.txt,Q30185,,,,,,,,
Councilor,politician.txt,Q708492,,,,,,,,
Diplomat,politician.txt,Q193391,,,,,,,,
Ambassador,politician.txt,Q121998,,,,,,,,
Actor,occupation.txt,Q33999,,,,,,,,
Singer,occupation.txt,Q177220,,,,,,,,
Dancer,occupation.txt,Q5716684,,,,,,,,
Musician,occupation.txt,Q639669,,,,,,,,
Comedian,occupation.txt,Q245068,,,,,,,,
Painter,occupation.txt,Q1028181,,,,,,,,
Sculptor,occupation.txt,Q9286,,,,,,,,
Photographer,occupation.txt,Q33231,,,,,,,,
Illustrator,occupation.txt,Q644687,,,,,,,,
Printmaker,occupation.txt,Q11569986,,,,,,,,
Author,occupation.txt,Q482980,,,,,,,,
Poet,occupation.txt,Q49757,,,,,,,,
Playwright,occupation.txt,Q214917,,,,,,,,
Screenwriter,occupation.txt,Q28389,,,,,,,,
Journalist,occupation.txt,Q1930187,,,,,,,,
Director,occupation.txt,Q3455803,,,,,,,,
Producer,occupation.txt,Q3282637,,,,,,,,
Cinematographer,occupation.txt,Q222344,,,,,,,,
Editor,occupation.txt,Q7042855+Q23016178,,,,,,,,
Architect,occupation.txt,Q42973,,,,,,,,
Fashion Designer,occupation.txt,Q3501317,,,,,,,,
Graphic Designer,occupation.txt,Q627325,,,,,,,,
Interior Designer,occupation.txt,Q2133309,,,,,,,,
Jeweler,occupation.txt,Q336221,,,,,,,,
Potter,occupation.txt,Q3400050,,,,,,,,
Woodworker,occupation.txt,Q15977971,,,,,,,,
Glassblower,occupation.txt,Q12184432,glassmaker,,,,,,,
Footballer,occupation.txt,Q937857,,,,,,,,
Basketball Player,occupation.txt,Q3665646,,,,,,,,
Cricket Player,occupation.txt,Q12299841,,,,,,,,
Baseball Player,occupation.txt,Q10871364,,,,,,,,
Rugby Player,occupation.txt,Q13415036,,,,,,,,
Tennis Player,occupation.txt,Q10833314,,,,,,,,
Golfer,occupation.txt,Q11303721,,,,,,,,
Swimmer,occupation.txt,Q10843402,,,,,,,,
Gymnast,occupation.txt,Q16947675,,,,,,,,
Cyclist,occupation.txt,Q2125610,,,,,,,,
Sprinter,occupation.txt,Q4009406,,,,,,,,
Long Jumper,occupation.txt,Q13381428,,,,,,,,
High Jumper,occupation.txt,Q13382122,,,,,,,,
Marathon Runner,occupation.txt,Q13382460,,,,,,,,
Discus Thrower,occupation.txt,Q13381689,,,,,,,,
Boxer,occupation.txt,Q11338576,,,,,,,,
Martial Artist,occupation.txt,Q11124885,,,,,,,,
Wrestler,occupation.txt,Q27978698,,,,,,,,
